12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 1-8, 12 x 4 = 1-20, 12 x 5 = 2-4, 12 x 6 = 2-16, 12 x 7 = 3-0, 12 x 8 = 3-12, 12 x 9 = 3-24, 12 x 10 = 4-8, 12 x 11 = 4-20, 12 x 12 = 5-4, 12 x 13 = 5-16, 12 x 14 = 6-0, 12 x 15 = 6-12, 12 x 16 = 6-24, 12 x 17 = 7-8, 12 x 18 = 7-20, 12 x 19 = 8-4, 12 x 20 = 8-16, 12 x 21 = 9-0, 12 x 22 = 9-12, 12 x 23 = 9-24, 12 x 24 = 10-8, 12 x 25 = 10-20, 12 x 26 = 11-4, 12 x 27 = 11-16, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 1-11, 13 x 4 = 1-24, 13 x 5 = 2-9, 13 x 6 = 2-22, 13 x 7 = 3-7, 13 x 8 = 3-20, 13 x 9 = 4-5, 13 x 10 = 4-18, 13 x 11 = 5-3, 13 x 12 = 5-16, 13 x 13 = 6-1, 13 x 14 = 6-14, 13 x 15 = 6-27, 13 x 16 = 7-12, 13 x 17 = 7-25, 13 x 18 = 8-10, 13 x 19 = 8-23, 13 x 20 = 9-8, 13 x 21 = 9-21, 13 x 22 = 10-6, 13 x 23 = 10-19, 13 x 24 = 11-4, 13 x 25 = 11-17, 13 x 26 = 12-2, 13 x 27 = 12-15, 
14 x 1 = 0-14, 14 x 2 = 1-0, 14 x 3 = 1-14, 14 x 4 = 2-0, 14 x 5 = 2-14, 14 x 6 = 3-0, 14 x 7 = 3-14, 14 x 8 = 4-0, 14 x 9 = 4-14, 14 x 10 = 5-0, 14 x 11 = 5-14, 14 x 12 = 6-0, 14 x 13 = 6-14, 14 x 14 = 7-0, 14 x 15 = 7-14, 14 x 16 = 8-0, 14 x 17 = 8-14, 14 x 18 = 9-0, 14 x 19 = 9-14, 14 x 20 = 10-0, 14 x 21 = 10-14, 14 x 22 = 11-0, 14 x 23 = 11-14, 14 x 24 = 12-0, 14 x 25 = 12-14, 14 x 26 = 13-0, 14 x 27 = 13-14, 
15 x 1 = 0-15, 15 x 2 = 1-2, 15 x 3 = 1-17, 15 x 4 = 2-4, 15 x 5 = 2-19, 15 x 6 = 3-6, 15 x 7 = 3-21, 15 x 8 = 4-8, 15 x 9 = 4-23, 15 x 10 = 5-10, 15 x 11 = 5-25, 15 x 12 = 6-12, 15 x 13 = 6-27, 15 x 14 = 7-14, 15 x 15 = 8-1, 15 x 16 = 8-16, 15 x 17 = 9-3, 15 x 18 = 9-18, 15 x 19 = 10-5, 15 x 20 = 10-20, 15 x 21 = 11-7, 15 x 22 = 11-22, 15 x 23 = 12-9, 15 x 24 = 12-24, 15 x 25 = 13-11, 15 x 26 = 13-26, 15 x 27 = 14-13, 
16 x 1 = 0-16, 16 x 2 = 1-4, 16 x 3 = 1-20, 16 x 4 = 2-8, 16 x 5 = 2-24, 16 x 6 = 3-12, 16 x 7 = 4-0, 16 x 8 = 4-16, 16 x 9 = 5-4, 16 x 10 = 5-20, 16 x 11 = 6-8, 16 x 12 = 6-24, 16 x 13 = 7-12, 16 x 14 = 8-0, 16 x 15 = 8-16, 16 x 16 = 9-4, 16 x 17 = 9-20, 16 x 18 = 10-8, 16 x 19 = 10-24, 16 x 20 = 11-12, 16 x 21 = 12-0, 16 x 22 = 12-16, 16 x 23 = 13-4, 16 x 24 = 13-20, 16 x 25 = 14-8, 16 x 26 = 14-24, 16 x 27 = 15-12, 
17 x 1 = 0-17, 17 x 2 = 1-6, 17 x 3 = 1-23, 17 x 4 = 2-12, 17 x 5 = 3-1, 17 x 6 = 3-18, 17 x 7 = 4-7, 17 x 8 = 4-24, 17 x 9 = 5-13, 17 x 10 = 6-2, 17 x 11 = 6-19, 17 x 12 = 7-8, 17 x 13 = 7-25, 17 x 14 = 8-14, 17 x 15 = 9-3, 17 x 16 = 9-20, 17 x 17 = 10-9, 17 x 18 = 10-26, 17 x 19 = 11-15, 17 x 20 = 12-4, 17 x 21 = 12-21, 17 x 22 = 13-10, 17 x 23 = 13-27, 17 x 24 = 14-16, 17 x 25 = 15-5, 17 x 26 = 15-22, 17 x 27 = 16-11, 
18 x 1 = 0-18, 18 x 2 = 1-8, 18 x 3 = 1-26, 18 x 4 = 2-16, 18 x 5 = 3-6, 18 x 6 = 3-24, 18 x 7 = 4-14, 18 x 8 = 5-4, 18 x 9 = 5-22, 18 x 10 = 6-12, 18 x 11 = 7-2, 18 x 12 = 7-20, 18 x 13 = 8-10, 18 x 14 = 9-0, 18 x 15 = 9-18, 18 x 16 = 10-8, 18 x 17 = 10-26, 18 x 18 = 11-16, 18 x 19 = 12-6, 18 x 20 = 12-24, 18 x 21 = 13-14, 18 x 22 = 14-4, 18 x 23 = 14-22, 18 x 24 = 15-12, 18 x 25 = 16-2, 18 x 26 = 16-20, 18 x 27 = 17-10, 
19 x 1 = 0-19, 19 x 2 = 1-10, 19 x 3 = 2-1, 19 x 4 = 2-20, 19 x 5 = 3-11, 19 x 6 = 4-2, 19 x 7 = 4-21, 19 x 8 = 5-12, 19 x 9 = 6-3, 19 x 10 = 6-22, 19 x 11 = 7-13, 19 x 12 = 8-4, 19 x 13 = 8-23, 19 x 14 = 9-14, 19 x 15 = 10-5, 19 x 16 = 10-24, 19 x 17 = 11-15, 19 x 18 = 12-6, 19 x 19 = 12-25, 19 x 20 = 13-16, 19 x 21 = 14-7, 19 x 22 = 14-26, 19 x 23 = 15-17, 19 x 24 = 16-8, 19 x 25 = 16-27, 19 x 26 = 17-18, 19 x 27 = 18-9, 
20 x 1 = 0-20, 20 x 2 = 1-12, 20 x 3 = 2-4, 20 x 4 = 2-24, 20 x 5 = 3-16, 20 x 6 = 4-8, 20 x 7 = 5-0, 20 x 8 = 5-20, 20 x 9 = 6-12, 20 x 10 = 7-4, 20 x 11 = 7-24, 20 x 12 = 8-16, 20 x 13 = 9-8, 20 x 14 = 10-0, 20 x 15 = 10-20, 20 x 16 = 11-12, 20 x 17 = 12-4, 20 x 18 = 12-24, 20 x 19 = 13-16, 20 x 20 = 14-8, 20 x 21 = 15-0, 20 x 22 = 15-20, 20 x 23 = 16-12, 20 x 24 = 17-4, 20 x 25 = 17-24, 20 x 26 = 18-16, 20 x 27 = 19-8, 
21 x 1 = 0-21, 21 x 2 = 1-14, 21 x 3 = 2-7, 21 x 4 = 3-0, 21 x 5 = 3-21, 21 x 6 = 4-14, 21 x 7 = 5-7, 21 x 8 = 6-0, 21 x 9 = 6-21, 21 x 10 = 7-14, 21 x 11 = 8-7, 21 x 12 = 9-0, 21 x 13 = 9-21, 21 x 14 = 10-14, 21 x 15 = 11-7, 21 x 16 = 12-0, 21 x 17 = 12-21, 21 x 18 = 13-14, 21 x 19 = 14-7, 21 x 20 = 15-0, 21 x 21 = 15-21, 21 x 22 = 16-14, 21 x 23 = 17-7, 21 x 24 = 18-0, 21 x 25 = 18-21, 21 x 26 = 19-14, 21 x 27 = 20-7, 
22 x 1 = 0-22, 22 x 2 = 1-16, 22 x 3 = 2-10, 22 x 4 = 3-4, 22 x 5 = 3-26, 22 x 6 = 4-20, 22 x 7 = 5-14, 22 x 8 = 6-8, 22 x 9 = 7-2, 22 x 10 = 7-24, 22 x 11 = 8-18, 22 x 12 = 9-12, 22 x 13 = 10-6, 22 x 14 = 11-0, 22 x 15 = 11-22, 22 x 16 = 12-16, 22 x 17 = 13-10, 22 x 18 = 14-4, 22 x 19 = 14-26, 22 x 20 = 15-20, 22 x 21 = 16-14, 22 x 22 = 17-8, 22 x 23 = 18-2, 22 x 24 = 18-24, 22 x 25 = 19-18, 22 x 26 = 20-12, 22 x 27 = 21-6, 
23 x 1 = 0-23, 23 x 2 = 1-18, 23 x 3 = 2-13, 23 x 4 = 3-8, 23 x 5 = 4-3, 23 x 6 = 4-26, 23 x 7 = 5-21, 23 x 8 = 6-16, 23 x 9 = 7-11, 23 x 10 = 8-6, 23 x 11 = 9-1, 23 x 12 = 9-24, 23 x 13 = 10-19, 23 x 14 = 11-14, 23 x 15 = 12-9, 23 x 16 = 13-4, 23 x 17 = 13-27, 23 x 18 = 14-22, 23 x 19 = 15-17, 23 x 20 = 16-12, 23 x 21 = 17-7, 23 x 22 = 18-2, 23 x 23 = 18-25, 23 x 24 = 19-20, 23 x 25 = 20-15, 23 x 26 = 21-10, 23 x 27 = 22-5, 
24 x 1 = 0-24, 24 x 2 = 1-20, 24 x 3 = 2-16, 24 x 4 = 3-12, 24 x 5 = 4-8, 24 x 6 = 5-4, 24 x 7 = 6-0, 24 x 8 = 6-24, 24 x 9 = 7-20, 24 x 10 = 8-16, 24 x 11 = 9-12, 24 x 12 = 10-8, 24 x 13 = 11-4, 24 x 14 = 12-0, 24 x 15 = 12-24, 24 x 16 = 13-20, 24 x 17 = 14-16, 24 x 18 = 15-12, 24 x 19 = 16-8, 24 x 20 = 17-4, 24 x 21 = 18-0, 24 x 22 = 18-24, 24 x 23 = 19-20, 24 x 24 = 20-16, 24 x 25 = 21-12, 24 x 26 = 22-8, 24 x 27 = 23-4, 
25 x 1 = 0-25, 25 x 2 = 1-22, 25 x 3 = 2-19, 25 x 4 = 3-16, 25 x 5 = 4-13, 25 x 6 = 5-10, 25 x 7 = 6-7, 25 x 8 = 7-4, 25 x 9 = 8-1, 25 x 10 = 8-26, 25 x 11 = 9-23, 25 x 12 = 10-20, 25 x 13 = 11-17, 25 x 14 = 12-14, 25 x 15 = 13-11, 25 x 16 = 14-8, 25 x 17 = 15-5, 25 x 18 = 16-2, 25 x 19 = 16-27, 25 x 20 = 17-24, 25 x 21 = 18-21, 25 x 22 = 19-18, 25 x 23 = 20-15, 25 x 24 = 21-12, 25 x 25 = 22-9, 25 x 26 = 23-6, 25 x 27 = 24-3, 
26 x 1 = 0-26, 26 x 2 = 1-24, 26 x 3 = 2-22, 26 x 4 = 3-20, 26 x 5 = 4-18, 26 x 6 = 5-16, 26 x 7 = 6-14, 26 x 8 = 7-12, 26 x 9 = 8-10, 26 x 10 = 9-8, 26 x 11 = 10-6, 26 x 12 = 11-4, 26 x 13 = 12-2, 26 x 14 = 13-0, 26 x 15 = 13-26, 26 x 16 = 14-24, 26 x 17 = 15-22, 26 x 18 = 16-20, 26 x 19 = 17-18, 26 x 20 = 18-16, 26 x 21 = 19-14, 26 x 22 = 20-12, 26 x 23 = 21-10, 26 x 24 = 22-8, 26 x 25 = 23-6, 26 x 26 = 24-4, 26 x 27 = 25-2, 
27 x 1 = 0-27, 27 x 2 = 1-26, 27 x 3 = 2-25, 27 x 4 = 3-24, 27 x 5 = 4-23, 27 x 6 = 5-22, 27 x 7 = 6-21, 27 x 8 = 7-20, 27 x 9 = 8-19, 27 x 10 = 9-18, 27 x 11 = 10-17, 27 x 12 = 11-16, 27 x 13 = 12-15, 27 x 14 = 13-14, 27 x 15 = 14-13, 27 x 16 = 15-12, 27 x 17 = 16-11, 27 x 18 = 17-10, 27 x 19 = 18-9, 27 x 20 = 19-8, 27 x 21 = 20-7, 27 x 22 = 21-6, 27 x 23 = 22-5, 27 x 24 = 23-4, 27 x 25 = 24-3, 27 x 26 = 25-2, 27 x 27 = 26-1, 
